Number of timesteps,Number of blocks,Number of robots,Simulation time
2593,316,1,00:04:24
Number of timesteps,Number of blocks,Number of robots,Simulation time
3571,316,1,00:04:24
Number of timesteps,Number of blocks,Number of robots,Simulation time
12572,316,1,00:11:51
Number of timesteps,Number of blocks,Number of robots,Simulation time
2712,316,1,00:03:48
