Wait,Update,Build,Move,Ferry,MoveToBlockToRemove,RemoveBlock,MoveToPlaceBlock,PlaceBlock,Timestamp
2.5213820934295654,2.398878812789917,0,0,0,0,0,0,0,2020-04-12 19:45:16.985299
5.432027339935303,4.543932676315308,0,0,0,0,0,0,0,2020-04-12 19:45:22.022518
8.300217628479004,6.75447416305542,0,0,0,0,0,0,0,2020-04-12 19:45:27.092980
11.04390001296997,8.952538967132568,0,0,0,0,0,0,0,2020-04-12 19:45:32.110691
14.210157871246338,10.674965143203735,0,0,0,0,0,0,0,2020-04-12 19:45:38.218880
16.83666729927063,14.419416666030884,0,0,0,0,0,0,0,2020-04-12 19:45:43.296075
19.640289306640625,16.58217167854309,0,0,0,0,0,0,0,2020-04-12 19:45:48.369952
22.18429207801819,19.209086894989014,0,0,0,0,0,0,0,2020-04-12 19:45:53.455934
24.83272433280945,21.595699548721313,0,0,0,0,0,0,0,2020-04-12 19:45:58.458056
27.554441928863525,23.970072984695435,0,0,0,0,0,0,0,2020-04-12 19:46:03.559939
28.519681215286255,25.267870664596558,2.773452043533325,0,0,0,0,0,0,2020-04-12 19:46:08.646227
28.519681215286255,26.009100198745728,7.050427436828613,0,0,0,0,0,0,2020-04-12 19:46:13.719280
28.519681215286255,26.76094126701355,11.465927600860596,0,0,0,0,0,0,2020-04-12 19:46:18.775400
30.72377300262451,28.868667125701904,12.161711692810059,0,0,0,0,0,0,2020-04-12 19:46:23.825177
32.23393750190735,31.04504132270813,12.161711692810059,0.20113420486450195,1.2001471519470215,0,0,0,0,2020-04-12 19:46:28.862162
32.23393750190735,31.6941134929657,12.161711692810059,0.20113420486450195,5.578642129898071,0,0,0,0,2020-04-12 19:46:33.876146
32.23393750190735,32.3170690536499,12.161711692810059,0.20113420486450195,9.983628511428833,0,0,0,0,2020-04-12 19:46:38.920687
32.23393750190735,32.96635031700134,12.161711692810059,0.20113420486450195,14.328710079193115,0,0,0,0,2020-04-12 19:46:43.958449
32.23393750190735,33.63453197479248,12.161711692810059,0.20113420486450195,18.762176513671875,0,0,0,0,2020-04-12 19:46:49.036339
32.23393750190735,34.376380443573,12.161711692810059,0.20113420486450195,23.07369613647461,0,0,0,0,2020-04-12 19:46:54.061801
34.14393615722656,36.153507709503174,12.161711692810059,0.20113420486450195,24.436318159103394,0,0,0,0,2020-04-12 19:46:59.125303
35.58981442451477,37.814701557159424,13.862419128417969,0.41417360305786133,24.436318159103394,0,0,0,0,2020-04-12 19:47:04.162776
35.58981442451477,38.46657156944275,18.23861002922058,0.41417360305786133,24.436318159103394,0,0,0,0,2020-04-12 19:47:09.166559
35.58981442451477,39.261598348617554,22.48038148880005,0.41417360305786133,24.436318159103394,0,0,0,0,2020-04-12 19:47:14.251441
37.494332790374756,40.84182572364807,24.074100494384766,0.41417360305786133,24.436318159103394,0,0,0,0,2020-04-12 19:47:19.290238
39.95251250267029,43.06064701080322,24.17028045654297,0.6690917015075684,24.436318159103394,0,0,0,0,2020-04-12 19:47:24.321890
42.754631996154785,45.287001609802246,24.17028045654297,0.6690917015075684,24.436318159103394,0,0,0,0,2020-04-12 19:47:29.333607
43.78615593910217,46.58081364631653,24.17028045654297,0.9434294700622559,26.835325241088867,0,0,0,0,2020-04-12 19:47:34.343178
43.78615593910217,47.231789112091064,24.17028045654297,0.9434294700622559,31.2488009929657,0,0,0,0,2020-04-12 19:47:39.423723
43.78615593910217,48.02080273628235,24.17028045654297,0.9434294700622559,35.45600724220276,0,0,0,0,2020-04-12 19:47:44.432563
46.01437950134277,50.18697166442871,24.17028045654297,0.9434294700622559,36.107993602752686,0,0,0,0,2020-04-12 19:47:49.460313
47.10167050361633,51.72091007232666,24.17028045654297,1.186185359954834,38.335347414016724,0,0,0,0,2020-04-12 19:47:54.556319
47.10167050361633,52.542420864105225,24.17028045654297,1.186185359954834,42.57253861427307,0,0,0,0,2020-04-12 19:47:59.583993
47.10167050361633,53.180185317993164,24.17028045654297,1.186185359954834,47.01021933555603,0,0,0,0,2020-04-12 19:48:04.655097
49.251076221466064,55.282095193862915,24.17028045654297,1.186185359954834,47.74926948547363,0,0,0,0,2020-04-12 19:48:09.669697
51.74792766571045,57.557904958724976,24.17028045654297,1.4660553932189941,47.74926948547363,0,0,0,0,2020-04-12 19:48:14.733688
54.3531060218811,59.98651933670044,24.17028045654297,1.4660553932189941,47.74926948547363,0,0,0,0,2020-04-12 19:48:19.753031
57.16841411590576,62.233115434646606,24.17028045654297,1.4660553932189941,47.74926948547363,0,0,0,0,2020-04-12 19:48:24.799005
59.904738664627075,64.47832107543945,24.17028045654297,1.4660553932189941,47.74926948547363,0,0,0,0,2020-04-12 19:48:29.841371
62.68127083778381,66.6283392906189,24.17028045654297,1.6295647621154785,47.74926948547363,0,0,0,0,2020-04-12 19:48:34.953743
65.55062961578369,68.8442645072937,24.17028045654297,1.6295647621154785,47.74926948547363,0,0,0,0,2020-04-12 19:48:40.119620
