Number of timesteps,Number of blocks,Number of robots,Simulation time
606,100,3,00:01:56
Number of timesteps,Number of blocks,Number of robots,Simulation time
1467,100,3,00:03:11
Number of timesteps,Number of blocks,Number of robots,Simulation time
5532,100,4,00:10:23
