Number of timesteps,Number of blocks,Number of robots,Simulation time
563,100,3,00:01:24
Number of timesteps,Number of blocks,Number of robots,Simulation time
1587,100,3,00:02:55
Number of timesteps,Number of blocks,Number of robots,Simulation time
1481,100,3,00:03:04
Number of timesteps,Number of blocks,Number of robots,Simulation time
7507,100,3,00:12:09
