Number of timesteps,Number of blocks,Number of robots,Simulation time
2212,100,1,00:02:42
Number of timesteps,Number of blocks,Number of robots,Simulation time
1589,100,1,00:02:23
Number of timesteps,Number of blocks,Number of robots,Simulation time
11474,100,1,00:16:57
