Wait,Update,Build,Move,Ferry,Timestamp
Wait,Update,Build,Move,Ferry,Timestamp
Wait,Update,Build,Move,Ferry,Timestamp
5.507676601409912,4.503913640975952,0,0,0,2020-04-19 06:58:54.446023
10.28552794456482,9.726279973983765,0,0,0,2020-04-19 06:59:04.456117
16.232168912887573,13.78410005569458,0,0,0,2020-04-19 06:59:14.456507
22.06975531578064,17.95871376991272,0,0,0,2020-04-19 06:59:24.456943
27.01376247406006,23.030412673950195,0,0,0,2020-04-19 06:59:34.484440
32.04099678993225,28.00185799598694,0,0,0,2020-04-19 06:59:44.487202
37.82201027870178,32.239309549331665,0,0,0,2020-04-19 06:59:54.488277
43.393261432647705,36.65773558616638,0,0,0,2020-04-19 07:00:04.495305
49.00266218185425,41.089515686035156,0,0,0,2020-04-19 07:00:14.532180
54.404401779174805,45.683136224746704,0,0,0,2020-04-19 07:00:24.532370
59.90129327774048,50.20697784423828,0,0,0,2020-04-19 07:00:34.550238
65.46788358688354,54.64902853965759,0,0,0,2020-04-19 07:00:44.550380
70.96095013618469,59.14995980262756,0,0,0,2020-04-19 07:00:54.555134
76.7968361377716,63.31788396835327,0,0,0,2020-04-19 07:01:04.559943
82.70892667770386,67.42399334907532,0,0,0,2020-04-19 07:01:14.572621
88.43815684318542,71.70927119255066,0,0,0,2020-04-19 07:01:24.587628
94.4749984741211,75.6835765838623,0,0,0,2020-04-19 07:01:34.598072
100.00186061859131,80.2554383277893,0,0,0,2020-04-19 07:01:44.697428
105.54392838478088,84.72652673721313,0,0,0,2020-04-19 07:01:54.714714
111.14941906929016,89.17572975158691,0,0,0,2020-04-19 07:02:04.759023
117.0644781589508,93.25830268859863,0,0,0,2020-04-19 07:02:14.762511
122.74010872840881,97.58266115188599,0,0,0,2020-04-19 07:02:24.766828
128.0059678554535,102.33630204200745,0,0,0,2020-04-19 07:02:34.781666
133.22379112243652,107.12167406082153,0,0,0,2020-04-19 07:02:44.786470
138.28833866119385,112.05657720565796,0,0,0,2020-04-19 07:02:54.789214
143.49825477600098,116.94062113761902,0,0,0,2020-04-19 07:03:04.880279
148.9669337272644,121.56865239143372,0,0,0,2020-04-19 07:03:14.950643
154.209792137146,126.33453679084778,0,0,0,2020-04-19 07:03:24.989581
160.1814706325531,130.36935329437256,0,0,0,2020-04-19 07:03:34.994863
164.81443881988525,135.75019526481628,0,0,0,2020-04-19 07:03:45.004765
169.72552728652954,140.93947172164917,0,0,0,2020-04-19 07:03:55.103843
175.17546820640564,145.5814549922943,0,0,0,2020-04-19 07:04:05.199325
179.12951374053955,152.00927138328552,0,0,0,2020-04-19 07:04:15.573887
184.10138177871704,157.09214210510254,0,0,0,2020-04-19 07:04:25.634759
189.26029777526855,161.95458841323853,0,0,0,2020-04-19 07:04:35.654799
194.22631764411926,166.98909735679626,0,0,0,2020-04-19 07:04:45.656278
199.80106258392334,171.42010354995728,0,0,0,2020-04-19 07:04:55.661172
204.78857707977295,175.78572177886963,0.44318413734436035,0,0.2176210880279541,2020-04-19 07:05:05.678433
209.42824459075928,180.90321493148804,0.5896022319793701,0.0003561973571777344,0.3130371570587158,2020-04-19 07:05:15.679696
214.18983006477356,186.1441149711609,0.5914435386657715,0.0003561973571777344,0.3130371570587158,2020-04-19 07:05:25.680138
218.12950730323792,192.1971206665039,0.5914435386657715,0.01578807830810547,0.321561336517334,2020-04-19 07:05:35.695198
222.26383638381958,198.04307389259338,0.5914435386657715,0.01578807830810547,0.3474881649017334,2020-04-19 07:05:45.701618
227.01987314224243,203.37657141685486,0.5914435386657715,0.01578807830810547,0.3911309242248535,2020-04-19 07:05:55.834526
231.19264245033264,209.1150300502777,0.5914435386657715,0.016231060028076172,0.5296769142150879,2020-04-19 07:06:05.885901
235.29798650741577,215.00542402267456,0.5914435386657715,0.016231060028076172,0.5296769142150879,2020-04-19 07:06:15.885982
239.4668378829956,220.83766770362854,0.5914435386657715,0.016585111618041992,0.5303709506988525,2020-04-19 07:06:25.886377
243.45492315292358,226.897362947464,0.5914435386657715,0.030397415161132812,0.530709981918335,2020-04-19 07:06:35.945053
248.655277967453,231.71442103385925,0.5914435386657715,0.030397415161132812,0.530709981918335,2020-04-19 07:06:45.965533
253.2275047302246,237.11420893669128,0.5914435386657715,0.03077411651611328,0.5613439083099365,2020-04-19 07:06:55.970501
257.1907362937927,243.13869524002075,0.5914435386657715,0.04395699501037598,0.561694860458374,2020-04-19 07:07:05.970884
261.987829208374,248.40580439567566,0.5914435386657715,0.04395699501037598,0.561694860458374,2020-04-19 07:07:16.030084
266.44659876823425,253.96596145629883,0.5914435386657715,0.04438900947570801,0.5628182888031006,2020-04-19 07:07:26.039843
271.71460366249084,258.7048704624176,0.5914435386657715,0.04478001594543457,0.5631203651428223,2020-04-19 07:07:36.040647
276.269451379776,264.13268065452576,0.5914435386657715,0.04508399963378906,0.5634574890136719,2020-04-19 07:07:46.041354
280.1501519680023,270.2499113082886,0.5914435386657715,0.045743703842163086,0.5634574890136719,2020-04-19 07:07:56.041896
285.10949969291687,275.4061472415924,0.5914435386657715,0.04603695869445801,0.5634574890136719,2020-04-19 07:08:06.160865
289.4691517353058,281.04110050201416,0.5914435386657715,0.05274081230163574,0.5634574890136719,2020-04-19 07:08:16.161666
294.3747925758362,286.1379005908966,0.5914435386657715,0.05274081230163574,0.5634574890136719,2020-04-19 07:08:26.165573
300.21113777160645,290.3233594894409,0.5914435386657715,0.05274081230163574,0.5634574890136719,2020-04-19 07:08:36.179477
305.6473460197449,294.95544505119324,0.5914435386657715,0.05274081230163574,0.5634574890136719,2020-04-19 07:08:46.244320
